2026-09-24 08:59:11 - INFO - 当前服务器配置为：交易时间段服务器重启后，执行拉起本交易操作
2026-09-24 08:59:16 - INFO - 竞价候选池 连板20只+高位44只=去重59只: ['金健米业', '华纺股份', '华丽家族', '龙头股份', '华远控股', '新华传媒', '新华文轩', '博通集成', '内蒙新华', '锡华科技', '南威软件', '南华生物', '我爱我家', '大亚圣象', '华瓷股份', '泰慕士', '三羊马', '世联行', '华软科技', '奥佳华', '香江控股', '开开实业', '天通股份', '敦煌种业', '万向德农', '新赛股份', '神奇制药', '先导基电', '哈药股份', '百花医药', '金牛化工', '云煤能源', '国芳集团', '会稽山  ', '华脉科技', '华正新材', '爱丽家居', '海鸥股份', '天洋新材', '科森科技', '哈森股份', '澳弘电子', '新中港  ', '一鸣食品', '龙版传媒', '德龙汇能', '桂林旅游', '闽东电力', '金 螳 螂', '海鸥住工', '澳洋健康', '美盈森', '星网锐捷', '德尔未来', '高争民爆', '集泰股份', '豪尔赛', '华盛昌', '楚天龙']
2026-09-24 09:15:00 - INFO - 竞价轮询: 暂无卖一挂跌停价命中
2026-09-24 09:15:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:22:00 001216.SZ 华瓷股份     25.49    -9.96        8840        8777       11871       29216     2237.26        0.00     2237.26       16.06     6098.13      884.67
09:22:00 001317.SZ 三羊马     56.90    -4.14        1260        1055        2660        2199      600.29        0.00      600.29      116.64      701.94      246.80
09:22:00 002285.SZ 世联行      2.85   -10.09       84333      102238      132810      199262     2403.49      510.31     2403.49        0.00     4651.19      602.72
09:22:00 600664.SS 哈药股份      8.21    -9.18       47257       44245       73499       51091     3632.59        0.00     3632.59      247.21     1426.86     3058.61
09:22:00 601579.SS 会稽山       34.00    -7.48        7824        6898        9136        9354     2345.32        0.00     2345.32      314.84     1250.42     1072.78
09:22:00 605179.SS 一鸣食品     24.38   -10.00        6774        3003        6774        3003      732.13        0.00      732.13      919.37      166.76      919.37
09:22:00 605577.SS 龙版传媒     14.99    -5.84        4981        4833        8513        8437      724.47        0.00      724.47       22.19      359.11      329.45
09:22:00 000993.SZ 闽东电力     17.18    -8.71       14011       13956       24324       67585     2397.64        0.00     2397.64        9.45     8960.92     1350.63
09:22:00 002303.SZ 美盈森      6.31    -5.82        3532        3481       10581        4605      219.65        0.00      219.65        3.22        2.25      489.17
09:22:00 003040.SZ 楚天龙     14.32    -9.99       18661        6396       18661        6738      915.91        0.00      915.91     1756.35      591.13     1756.35
2026-09-24 09:22:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:22:30 600630.SS 龙头股份      7.68    -9.96       28078       37173       28078       39614     2156.39      698.57     2156.39        0.00     2121.52        0.00
09:22:30 603230.SS 内蒙新华     15.80    -5.90        5473        5328        5476        5515      841.82        0.00      841.82       22.91      244.63      114.91
09:22:30 000504.SZ 南华生物     11.48   -10.03        8961       78065        8961       97506     1028.72     7933.23     1028.72        0.00    10644.73        0.00
09:22:30 001216.SZ 华瓷股份     25.51    -9.89        9470        8923       11871       29216     2276.26        0.00     2276.26      139.54     6098.13      884.67
09:22:30 001317.SZ 三羊马     56.90    -4.14        1394        1115        2660        2199      634.43        0.00      634.43      158.75      701.94      246.80
09:22:30 002285.SZ 世联行      2.85   -10.09       88645      107438      132810      199262     2526.38      535.62     2526.38        0.00     4651.19      602.72
09:22:30 600664.SS 哈药股份      8.25    -8.74       46558       46448       73499       51091     3832.03        0.00     3832.03        9.00     1426.86     3058.61
09:22:30 601579.SS 会稽山       34.03    -7.40        7183        7077        9136        9354     2408.30        0.00     2408.30       36.07     1250.42     1072.78
09:22:30 605179.SS 一鸣食品     24.38   -10.00        7482        3180        7482        3180      775.28        0.00      775.28     1048.83      166.76     1048.83
09:22:30 605577.SS 龙版传媒     15.02    -5.65        5150        5096        8513        8437      765.42        0.00      765.42        8.11      359.11      329.45
09:22:30 000993.SZ 闽东电力     17.23    -8.45       14647       14049       24324       67585     2420.64        0.00     2420.64      103.04     8960.92     1350.63
09:22:30 002303.SZ 美盈森      6.43    -4.03        3687        3605       10581        4605      231.80        0.00      231.80        5.27        2.25      489.17
09:22:30 003040.SZ 楚天龙     14.32    -9.99       20620        6507       20620        6738      931.80        0.00      931.80     2020.98      591.13     2020.98
2026-09-24 09:23:00 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:23:00 600630.SS 龙头股份      7.68    -9.96       32478       39340       32478       39614     2494.31      527.07     2494.31        0.00     2121.52        0.00
09:23:00 603230.SS 内蒙新华     16.00    -4.71        5815        5713        5815        5713      914.08        0.00      914.08       16.32      244.63      114.91
09:23:00 000504.SZ 南华生物     11.48   -10.03        9895       81636        9895       97506     1135.95     8235.95     1135.95        0.00    10644.73        0.00
09:23:00 001216.SZ 华瓷股份     25.90    -8.51        9272        9171       11871       29216     2375.29        0.00     2375.29       26.16     6098.13      884.67
09:23:00 001317.SZ 三羊马     56.90    -4.14        1515        1161        2660        2199      660.61        0.00      660.61      201.43      701.94      246.80
09:23:00 002285.SZ 世联行      2.85   -10.09      102611      115243      132810      199262     2924.41      360.03     2924.41        0.00     4651.19      602.72
09:23:00 600664.SS 哈药股份      8.35    -7.63       50004       48701       73499       51091     4066.61        0.00     4066.61      108.73     1426.86     3058.61
09:23:00 601579.SS 会稽山       34.50    -6.12        7287        7286        9136        9354     2513.67        0.00     2513.67        0.34     1250.42     1072.78
09:23:00 605179.SS 一鸣食品     24.38   -10.00        8225        3369        8225        3369      821.36        0.00      821.36     1183.89      166.76     1183.89
09:23:00 605577.SS 龙版传媒     15.11    -5.09        5409        5399        8513        8437      815.79        0.00      815.79        1.51      359.11      329.45
09:23:00 000993.SZ 闽东电力     17.50    -7.01       14972       14692       24324       67585     2571.10        0.00     2571.10       49.00     8960.92     1350.63
09:23:00 002303.SZ 美盈森      6.42    -4.18        4143        3944       10581        4605      253.20        0.00      253.20       12.78        2.25      489.17
09:23:00 003040.SZ 楚天龙     14.33    -9.93        7278        6637       20620        6738      951.08        0.00      951.08       91.86      591.13     2020.98
2026-09-24 09:23:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:23:30 600630.SS 龙头股份      7.68    -9.96       37932       41396       37932       41396     2913.18      266.11     2913.18        0.00     2121.52        0.00
09:23:30 603230.SS 内蒙新华     16.05    -4.41        6402        6358        6402        6358     1020.46        0.00     1020.46        7.06      244.63      114.91
09:23:30 000504.SZ 南华生物     11.48   -10.03       11124       86042       11124       97506     1277.04     8600.67     1277.04        0.00    10644.73        0.00
09:23:30 001216.SZ 华瓷股份     26.34    -6.96        9611        9546       11871       29216     2514.42        0.00     2514.42       17.12     6098.13      884.67
09:23:30 001317.SZ 三羊马     56.90    -4.14        1687        1331        2660        2199      757.34        0.00      757.34      202.56      701.94      246.80
09:23:30 002285.SZ 世联行      2.85   -10.09      119120      125584      132810      199262     3394.92      184.24     3394.92        0.00     4651.19      602.72
09:23:30 600664.SS 哈药股份      8.40    -7.08       51849       50676       73499       51091     4256.86        0.00     4256.86       98.46     1426.86     3058.61
09:23:30 601579.SS 会稽山       34.68    -5.63        7456        7444        9136        9354     2581.92        0.00     2581.92        3.83     1250.42     1072.78
09:23:30 605179.SS 一鸣食品     24.38   -10.00        9210        3543        9210        3543      863.78        0.00      863.78     1381.61      166.76     1381.61
09:23:30 605577.SS 龙版传媒     15.15    -4.84        5828        5750        8513        8437      871.12        0.00      871.12       11.82      359.11      329.45
09:23:30 000993.SZ 闽东电力     17.88    -4.99       15555       15782       24324       67585     2781.23       40.59     2781.23        0.00     8960.92     1350.63
09:23:30 002303.SZ 美盈森      6.40    -4.48        4899        4852       10581        4852      310.53        0.00      310.53        3.01        2.25      489.17
09:23:30 003040.SZ 楚天龙     14.33    -9.93        9719        7179       20620        7179     1028.75        0.00     1028.75      363.98      591.13     2020.98
2026-09-24 09:24:00 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:24:00 600630.SS 龙头股份      7.68    -9.96       45550       42552       45550       42552     3268.07        0.00     3268.07      230.17     2121.52      230.17
09:24:00 603230.SS 内蒙新华     16.27    -3.10        7792        7652        7792        7652     1244.98        0.00     1244.98       22.78      244.63      114.91
09:24:00 000504.SZ 南华生物     11.48   -10.03       15153       88868       15153       97506     1739.56     8462.57     1739.56        0.00    10644.73        0.00
09:24:00 001216.SZ 华瓷股份     26.54    -6.25       10066       10065       11871       29216     2671.25        0.00     2671.25        0.27     6098.13      884.67
09:24:00 001317.SZ 三羊马     56.90    -4.14        1913        1394        2660        2199      793.19        0.00      793.19      295.31      701.94      295.31
09:24:00 002285.SZ 世联行      2.85   -10.09      141280      130364      141280      199262     3715.39        0.00     3715.39      311.09     4651.19      602.72
09:24:00 600664.SS 哈药股份      8.40    -7.08       63389       55365       73499       55365     4650.73        0.00     4650.73      673.94     1426.86     3058.61
09:24:00 601579.SS 会稽山       35.00    -4.76        8982        7844        9136        9354     2745.74        0.00     2745.74      397.96     1250.42     1072.78
09:24:00 605179.SS 一鸣食品     24.38   -10.00        9935        3858        9935        3858      940.58        0.00      940.58     1481.57      166.76     1481.57
09:24:00 605577.SS 龙版传媒     15.20    -4.52        6498        6330        8513        8437      962.16        0.00      962.16       25.54      359.11      329.45
09:24:00 000993.SZ 闽东电力     17.89    -4.94       17356       17305       24324       67585     3095.86        0.00     3095.86        9.12     8960.92     1350.63
09:24:00 002303.SZ 美盈森      6.40    -4.48        5087        5014       10581        5014      320.90        0.00      320.90        4.67        2.25      489.17
09:24:00 003040.SZ 楚天龙     14.34    -9.87        8012        7608       20620        7608     1090.99        0.00     1090.99       57.93      591.13     2020.98
2026-09-24 09:24:30 - INFO - 竞价轮询, 卖一挂跌停命中 14 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:24:30 600630.SS 龙头股份      7.68    -9.96       54679       44220       54679       44220     3396.17        0.00     3396.17      803.18     2121.52      803.18
09:24:30 603230.SS 内蒙新华     16.29    -2.98       10115        9994       10115        9994     1628.02        0.00     1628.02       19.71      244.63      114.91
09:24:30 000504.SZ 南华生物     11.48   -10.03       18285       92078       18285       97506     2099.12     8471.52     2099.12        0.00    10644.73        0.00
09:24:30 001216.SZ 华瓷股份     26.90    -4.98       11149       10844       11871       29216     2917.04        0.00     2917.04       82.05     6098.13      884.67
09:24:30 001317.SZ 三羊马     56.90    -4.14        2239        1621        2660        2199      922.35        0.00      922.35      351.64      701.94      351.64
09:24:30 002285.SZ 世联行      2.85   -10.09      172503      136874      172503      199262     3900.92        0.00     3900.92     1015.41     4651.19     1015.41
09:24:30 600664.SS 哈药股份      8.50    -5.97       62283       62224       73499       62224     5289.11        0.00     5289.11        4.94     1426.86     3058.61
09:24:30 601579.SS 会稽山       35.00    -4.76       10162        8434       10162        9354     2952.24        0.00     2952.24      604.46     1250.42     1072.78
09:24:30 605179.SS 一鸣食品     24.39    -9.97        4281        4255        9935        4255     1037.79        0.00     1037.79        6.34      166.76     1481.57
09:24:30 605577.SS 龙版传媒     15.20    -4.52        8039        7812        8513        8437     1187.42        0.00     1187.42       34.50      359.11      329.45
09:24:30 000993.SZ 闽东电力     18.00    -4.36       20004       19356       24324       67585     3484.08        0.00     3484.08      116.64     8960.92     1350.63
09:24:30 002303.SZ 美盈森      6.42    -4.18        5411        5389       10581        5389      345.97        0.00      345.97        1.41        2.25      489.17
09:24:30 003040.SZ 楚天龙     14.37    -9.68        7868        7713       20620        7713     1108.38        0.00     1108.38       22.25      591.13     2020.98
09:24:30 603636.SS 南威软件      7.93    -9.99       46709       36292       46709       36292     2877.96        0.00     2877.96      826.07     1455.15     1532.47
2026-09-24 09:25:00 - INFO - 竞价轮询, 卖一挂跌停命中 14 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:25:00 600630.SS 龙头股份      7.73    -9.38       47699       46481       54679       46481     3593.05        0.00     3593.05       94.08     2121.52      803.18
09:25:00 603230.SS 内蒙新华     16.98     1.13       18962       18924       18962       18924     3213.30        0.00     3213.30        6.45      244.63      114.91
09:25:00 000504.SZ 南华生物     11.48   -10.03       84600       96007       84600       97506     9712.08     1309.61     9712.08        0.00    10644.73        0.00
09:25:00 001216.SZ 华瓷股份     28.01    -1.06       14700       14623       14700       29216     4095.90        0.00     4095.90       21.57     6098.13      884.67
09:25:00 001317.SZ 三羊马     58.08    -2.16        2155        2142        2660        2199     1244.07        0.00     1244.07        7.55      701.94      351.64
09:25:00 002285.SZ 世联行      2.92    -7.89      171140      162167      172503      199262     4735.29        0.00     4735.29      262.00     4651.19     1015.41
09:25:00 600664.SS 哈药股份      8.80    -2.65       87810       87782       87810       87782     7724.87        0.00     7724.87        2.41     1426.86     3058.61
09:25:00 601579.SS 会稽山       37.10     0.95       12756       12685       12756       12685     4706.49        0.00     4706.49       25.98     1250.42     1072.78
09:25:00 605179.SS 一鸣食品     24.65    -9.01        5083        5062        9935        5062     1247.78        0.00     1247.78        5.18      166.76     1481.57
09:25:00 605577.SS 龙版传媒     15.43    -3.08       10458       10407       10458       10407     1605.80        0.00     1605.80        7.87      359.11      329.45
09:25:00 000993.SZ 闽东电力     18.09    -3.88       25967       25903       25967       67585     4685.85        0.00     4685.85       11.58     8960.92     1350.63
09:25:00 002303.SZ 美盈森      6.50    -2.99       13538       12927       13538       12927      840.25        0.00      840.25       39.72        2.25      489.17
09:25:00 003040.SZ 楚天龙     14.61    -8.17        8898        8792       20620        8792     1284.53        0.00     1284.53       15.46      591.13     2020.98
09:25:00 603636.SS 南威软件      8.21    -6.81       57297       52840       57297       52840     4338.16        0.00     4338.16      365.92     1455.15     1532.47
2026-09-24 09:25:30 - INFO - 竞价轮询, 卖一挂跌停命中 14 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:25:30 600630.SS 龙头股份      7.97    -6.57       80689       33643       80689       46481       11.81       16.12      599.99       39.21     2121.52      803.18
09:25:30 603230.SS 内蒙新华     16.99     1.19       17174       13218       18962       18924       23.96       77.98       13.58        0.17      244.63      114.91
09:25:30 000504.SZ 南华生物     11.62    -8.93       63175       18944       84600       97506        0.12        0.82       55.34      963.30    10644.73      963.30
09:25:30 001216.SZ 华瓷股份     28.05    -0.92       23366       10624       23366       29216        1.69        1.97      153.43       11.22     6098.13      884.67
09:25:30 001317.SZ 三羊马     59.24    -0.20        6405        3126        6405        3126        1.19       30.26        0.59       17.77      701.94      351.64
09:25:30 002285.SZ 世联行      3.09    -2.52      336095      122285      336095      199262      154.32       14.54      787.28       91.22     4651.19     1015.41
09:25:30 600664.SS 哈药股份      8.65    -4.31      155181       93162      155181       93162       71.62       19.74      121.22       32.26     1426.86     3058.61
09:25:30 601579.SS 会稽山       37.64     2.42       34773        7399       34773       12685        9.79        0.38       80.56      373.01     1250.42     1072.78
09:25:30 605179.SS 一鸣食品     25.88    -4.47       15275        5554       15275        5554        0.26       11.13       48.40        1.29      166.76     1481.57
09:25:30 605577.SS 龙版传媒     15.60    -2.01       17527        8205       17527       10407       12.64        2.03        0.31        1.09      359.11      329.45
09:25:30 000993.SZ 闽东电力     18.00    -4.36       44492       26104       44492       67585       51.33        6.66       53.82       10.62     8960.92     1350.63
09:25:30 002303.SZ 美盈森      6.62    -1.19       37338       19022       37338       19022       13.26        4.57       53.29      116.11        4.57      489.17
09:25:30 003040.SZ 楚天龙     14.90    -6.35       37841       23265       37841       23265        1.64        6.56       68.81       14.30      591.13     2020.98
09:25:30 603636.SS 南威软件      8.21    -6.81       50172       65821       57297       65821        0.08        1.23      366.33      123.89     1455.15     1532.47
2026-09-24 09:25:30 - INFO - 竞价监控结束(>=09:25:30), 累计命中 14 只: ['600630.SS', '603230.SS', '000504.SZ', '001216.SZ', '001317.SZ', '002285.SZ', '600664.SS', '601579.SS', '605179.SS', '605577.SS', '000993.SZ', '002303.SZ', '003040.SZ', '603636.SS']
